Kota,Prakiraan Cuaca Malam,Prakiraan Cuaca Dini Hari,Suhu (°C),Kelembapan (%)
Banda Aceh,Berawan,Berawan,24 - 34,65 - 95
Denpasar,Cerah Berawan,Berawan,23 - 32,65 - 90
Serang,Berawan Tebal,Berawan,23 - 32,65 - 90
Bengkulu,Cerah Berawan,Hujan Ringan,24 - 32,65 - 95
Yogyakarta,Cerah Berawan,Berawan,23 - 31,65 - 95
Jakarta Pusat,Hujan Ringan,Berawan,26 - 32,70 - 95
Gorontalo,Cerah Berawan,Berawan,24 - 33,60 - 95
Jambi,Hujan Petir,Kabut,24 - 33,55 - 100
Bandung,Hujan Ringan,Cerah Berawan,20 - 30,60 - 95
Semarang,Berawan,Cerah Berawan,24 - 34,55 - 90
Surabaya,Cerah Berawan,Cerah Berawan,24 - 33,50 - 90
Pontianak,Cerah Berawan,Berawan,24 - 34,60 - 100
Banjarmasin,Cerah Berawan,Cerah Berawan,24 - 33,55 - 95
Palangkaraya,Berawan,Berawan,24 - 33,60 - 100
Samarinda,Cerah,Berawan,24 - 29,75 - 100
Tarakan,Cerah Berawan,Hujan Ringan,25 - 31,85 - 95
Pangkal Pinang,Cerah Berawan,Hujan Ringan,24 - 32,60 - 95
Tanjung Pinang,Berawan,Hujan Ringan,24 - 32,65 - 95
Bandar Lampung,Hujan Petir,Berawan,23 - 31,65 - 95
Ambon,Berawan,Berawan,23 - 30,75 - 85
Ternate,Cerah Berawan,Cerah,25 - 33,65 - 90
Mataram,Cerah Berawan,Cerah Berawan,22 - 31,65 - 95
Kupang,Cerah Berawan,Cerah,22 - 32,55 - 90
Kota Jayapura,Hujan Ringan,Berawan,23 - 31,65 - 95
Manokwari,Berawan,Berawan,24 - 33,70 - 95
Pekanbaru,Hujan Ringan,Hujan Petir,23 - 33,65 - 100
Mamuju,Cerah Berawan,Cerah Berawan,25 - 33,60 - 90
Makassar,Berawan,Berawan,24 - 34,65 - 90
Kendari,Berawan,Berawan,24 - 32,65 - 95
Manado,Cerah Berawan,Cerah Berawan,23 - 32,65 - 95
Padang,Cerah,Hujan Ringan,24 - 32,75 - 95
Palembang,Cerah Berawan,Cerah Berawan,24 - 32,70 - 100
Medan,Hujan Lebat,Berawan,23 - 33,60 - 95
